PaNET Concept IRI,PaNET name,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:narrowMatch,skos:broadMatch
http://purl.org/pan-science/PaNET/PaNET01205,x-ray photon correlation spectroscopy,,,,,Diffraction/Time-resolved studies | Scattering/Coherent Scattering
http://purl.org/pan-science/PaNET/PaNET01207,x-ray tomography,,,Imaging/X-ray tomography,,
http://purl.org/pan-science/PaNET/PaNET01208,x-ray microtomography,,,,,Imaging/X-ray tomography
http://purl.org/pan-science/PaNET/PaNET01212,ptychography,,,Imaging/Ptychography,,
http://purl.org/pan-science/PaNET/PaNET01216,x-ray diffraction,,,Diffraction ,,
http://purl.org/pan-science/PaNET/PaNET01218,ambient pressure x-ray photoelectron spectroscopy,,,,,Photoelectron emission/XPS
http://purl.org/pan-science/PaNET/PaNET01219,scanning transmission x-ray microscopy,,,,,Imaging/X-ray microscopy | Absorption
http://purl.org/pan-science/PaNET/PaNET01221,XMCD total electron yield,,,,,Absorption/XMCD
http://purl.org/pan-science/PaNET/PaNET01222,spin and angle resolved photoemission spectroscopy ,,,Photoelectron emission/Spin-resolved ARPES,,
http://purl.org/pan-science/PaNET/PaNET01223,lithography ,,,Lithography,,
http://purl.org/pan-science/PaNET/PaNET01224,x-ray lithography,,,Lithography/X-ray lithography,,
http://purl.org/pan-science/PaNET/PaNET01225,EUV lithography ,,,Lithography/EUV lithography,,
http://purl.org/pan-science/PaNET/PaNET01227,x-ray absorption,,,Absorption ,,
http://purl.org/pan-science/PaNET/PaNET01229,nonlinear x-ray spectroscopy,,,,,Absorption
http://purl.org/pan-science/PaNET/PaNET01238,pulse overlap diffraction,,,,,Diffraction/Time-resolved studies
http://purl.org/pan-science/PaNET/PaNET01241,ultra small angle x-ray scattering,,,,,Scattering/Small angle scattering
http://purl.org/pan-science/PaNET/PaNET01251,THz near field microscopy,,,Imaging/THz near-field microscopy,,
http://purl.org/pan-science/PaNET/PaNET01255,ellipsometry ,,,Emission or Reflection/Ellipsometry,,
http://purl.org/pan-science/PaNET/PaNET01256,polarimetry,,,Emission or Reflection/Polarimetry,,
http://purl.org/pan-science/PaNET/PaNET01257,UV photoelectron emission,,,Photoelectron emission/UPS,,
http://purl.org/pan-science/PaNET/PaNET01258,x-ray photoelectron emission,,,,,Photoelectron emission/XPS
http://purl.org/pan-science/PaNET/PaNET01259,x-ray magnetic linear dichroism,,,,,Absorption
http://purl.org/pan-science/PaNET/PaNET01260,resonant elastic x-ray scattering,,,,,Scattering/Elastic scattering | Scattering/Resonant Scattering | Scattering/Anomalous Scattering
http://purl.org/pan-science/PaNET/PaNET01261,x-ray refraction imaging,,,,,Imaging 
http://purl.org/pan-science/PaNET/PaNET01262,x-ray refraction tomography,,,,,Imaging/X-ray tomography
http://purl.org/pan-science/PaNET/PaNET01263,time dependent scattering ,,,Scattering/Time-resolved scattering,,
http://purl.org/pan-science/PaNET/PaNET01264,time dependent diffraction,,,,Diffraction/Time-resolved studies,
http://purl.org/pan-science/PaNET/PaNET01265,time dependent absorption ,,,,Absorption/Time-resolved studies,
http://purl.org/pan-science/PaNET/PaNET01266,x-ray holography,,,Imaging/X-ray holography,,
http://purl.org/pan-science/PaNET/PaNET01267,ion imaging ,,,Imaging/Ion imaging,,
http://purl.org/pan-science/PaNET/PaNET01268,mass spectrometry ,,,Ion Spectroscopy/Mass spectrometry,,
http://purl.org/pan-science/PaNET/PaNET01271,microfocus x-ray scattering,,,,,Scattering/Elastic Scattering
http://purl.org/pan-science/PaNET/PaNET01272,nanofocus x-ray scattering,,,,,Scattering/Elastic Scattering
http://purl.org/pan-science/PaNET/PaNET01274,anomalous small angle x-ray scattering,,,,,Scattering/Small angle scattering | Scattering/Resonant scattering | Scattering/Anomalous scattering
http://purl.org/pan-science/PaNET/PaNET01275,anomalous solution x-ray scattering,,,,,Scattering/Small angle scattering | Scattering/Resonant scattering | Scattering/Anomalous scattering
http://purl.org/pan-science/PaNET/PaNET01280,diffuse small angle x-ray scattering,,,,,Scattering/Small angle scattering
http://purl.org/pan-science/PaNET/PaNET01281,inelastic x-ray small angle scattering,,,,,Scattering/Small angle scattering | Scattering/Inelastic scattering
http://purl.org/pan-science/PaNET/PaNET01282,soft x-ray small angle scattering,,,,,Scattering/Small angle Scattering
http://purl.org/pan-science/PaNET/PaNET01283,soft x-ray diffraction,,,,,Diffraction 
http://purl.org/pan-science/PaNET/PaNET01284,x-ray photoelectron diffraction,,,Photoelectron emission/Photoelectron diffraction,,
http://purl.org/pan-science/PaNET/PaNET01285,x-ray imaging,,,Imaging ,,
http://purl.org/pan-science/PaNET/PaNET01286,micro small angle x-ray scattering tomography,,,,,Scattering/Small angle scattering | Imaging/X-ray tomography
http://purl.org/pan-science/PaNET/PaNET01287,micro grazing incidence small angle x-ray scattering tomography,,,,,Scattering/Small angle scattering
http://purl.org/pan-science/PaNET/PaNET01289,soft x-ray imaging,,,,,Imaging 
http://purl.org/pan-science/PaNET/PaNET01290,x-ray diffraction imaging,,,,,Imaging | Difffraction
http://purl.org/pan-science/PaNET/PaNET01291,scanning angle resolved photoemission spectromicroscopy,,,,,Imaging/Scanning photoemission EM
http://purl.org/pan-science/PaNET/PaNET01294,x-ray photoemission electron microscopy,,,,,Photoelectron emission | Imaging/X-ray microscopy
http://purl.org/pan-science/PaNET/PaNET01295,x-ray scanning microscopy,,,,,Imaging/X-ray microscopy
http://purl.org/pan-science/PaNET/PaNET01297,high resolution x-ray photoelectron spectroscopy,,,,,Photoelectron emission/XPS
http://purl.org/pan-science/PaNET/PaNET01300,x-ray linear dichroism,,,,,Absorption 
http://purl.org/pan-science/PaNET/PaNET01301,x-ray magnetochiral dichroism,,,,,Absorption
http://purl.org/pan-science/PaNET/PaNET01302,x-ray natural circular dichroism,,,,,Absorption 
http://purl.org/pan-science/PaNET/PaNET01303,x-ray natural linear dichroism,,,,,Absorption 
http://purl.org/pan-science/PaNET/PaNET01305,long wavelength crystallography,,,,,Diffraction/Crystallography | Diffraction/Crystallography (biological macromolecules)
http://purl.org/pan-science/PaNET/PaNET01306,microfocus macromolecular crystallography,,,,,Diffraction/Crystallography (biological macromolecules)
http://purl.org/pan-science/PaNET/PaNET01307,nanofocus macromolecular crystallography,,,,,Diffraction/Crystallography (biological macromolecules)
http://purl.org/pan-science/PaNET/PaNET01309,time resolved serial femtosecond crystallography,,,,,Diffraction/Crystallography | Diffraction/Time-resolved studies
http://purl.org/pan-science/PaNET/PaNET01310,fixed target serial synchrotron crystallography,,,,,Diffraction/Crystallography
http://purl.org/pan-science/PaNET/PaNET01311,lipidic cubic phase serial synchrotron crystallography,,,,,Diffraction/Crystallography
http://purl.org/pan-science/PaNET/PaNET01312,time resolved serial synchrotron crystallography,,,,,Diffraction/Crystallography | Diffraction/Time-resolved studies
http://purl.org/pan-science/PaNET/PaNET01313,magnetic x-ray tomography,,,,,Imaging/X-ray tomography
http://purl.org/pan-science/PaNET/PaNET01314,correlative light x-ray microscopy,,,,,Imaging/X-ray microscopy
http://purl.org/pan-science/PaNET/PaNET01315,cryo x-ray microscopy,,,,,Imaging/X-ray microscopy
http://purl.org/pan-science/PaNET/PaNET01316,grazing incidence wide angle scattering,,,,,Scattering/Wide angle scattering
http://purl.org/pan-science/PaNET/PaNET01321,energy dispersive extended x-ray absorption fine structure,,,,,Absorption/EXAFS
http://purl.org/pan-science/PaNET/PaNET01322,microfocus x-ray absorption spectroscopy,,,,,Absorption/EXAFS | Absorption/NEXAFS
http://purl.org/pan-science/PaNET/PaNET01325,borrmann effect,,,,,Diffraction 
http://purl.org/pan-science/PaNET/PaNET01327,x-ray birefringence imaging,,,,,X-ray imaging
